id,message_id,date,text,user_id,lon,lat,emotion
0,1496258243055828998,2022-02-22 22:58:58,Currently in the ER bc I can’t breathe. No other symptoms besides chest pain and not being able to breathe. And it’s crazy how 90% of everyone that’s walking in right now has no other symptoms except trouble breathing and chest pain. I swear they spraying something in the air,271672411,-71.068534,42.363692,disgust
1,1427280148198395904,2021-08-16 14:44:39,"Nervous to apply for a job like ""Quality Inspector"" at Adecco? Apply even if you're not a 100% match. You might be underestimating your value. Click the link in our bio for more info. #Manufacturing #Cambridge, MA",34163767,-71.1097335,42.3736158,fear
2,1486676584052535296,2022-01-27 12:24:53,#FinishTheJob #ReplenishRRF,52393373,-71.107249,42.345996,neutral
3,1418136425548197888,2021-07-22 09:10:46,"Following a crash in Canton, a @MassStatePolice Trooper can be seen below arriving at @The_BMC with the victim’s missing arm. At this time there has not been an update on the man’s condition. https://t.co/2S9NVMsAqW",851003790056620032,-71.073875,42.334826,fear
4,1571742117009018882,2022-09-19 06:04:56,My thoughts exactly scout… #azzholdujour #marden #mardenized #masshole #kamekazephotography #fuckcancer… https://t.co/IvYxxe5tzq,471594513,-71.05675,42.35866,joy
5,1420875057287634945,2021-07-29 22:33:06,"Life sucks sometimes... Doesn't mean you have to start moving. Sometimes you have to just move on as backwards as it may look. Keep going, beloved. I know I am 🙏🏾 @ Brookline, Massachusetts https://t.co/3k24gfN9DP",2320983499,-71.1182,42.332,joy
6,1413500947926380553,2021-07-09 14:11:02,"#tfw when you're getting  storm warnings and heat advisories in the same day.... #MeanwhileInNewEngland @ Boston, Massachusetts https://t.co/lkfT0Nvmrb",452483362,-71.0565,42.3577,fear
7,1445486963134324737,2021-10-05 20:32:02,"Alex Cora: “There’s no ‘ra-ra speech’ here. If you need that, you’re in the wrong business.” #RedSox #Yankees https://t.co/Fys2MJRwSh",532423017,-71.097732,42.346406,fear
8,1532146716987777027,2022-06-01 23:46:57,#DirtyWater https://t.co/7M8A14slOe,28324031,-71.097378,42.346384,joy
9,1667641638825635840,2023-06-10 21:15:24,Las Vegas family claims to see aliens #boston #massachusetts #instagood https://t.co/G0YMBThK2L https://t.co/Lmp2rDuK4i,1658165998145396747,-71.05984536,42.35979693,fear
10,1583888897171259394,2022-10-22 18:31:54,"in the end, @swimman79 did not punch the guy, but only because i ran after him to discuss.  it gets better, because he joked about how this wasn’t the first time his dog lunged at a kid on a scooter.  do better, dog owners. https://t.co/wi4BgUgMrY",8294032,-71.079788,42.34602,anger
11,1356315236047978501,2021-02-01 18:55:26,"Oh Lordy. The Nor’easter is a’comin’ @ Boston, Massachusetts https://t.co/eKHBVxEcu3",32120162,-71.0565,42.3577,joy
12,1397648575912300545,2021-05-26 20:19:22,"STOLEN - Red Surly Disc Trucker in Boston, MA https://t.co/zqAUxpOMIQ https://t.co/vsiS5KGUft",2548481887,-71.1002881,42.3476181,neutral
